Zeit [s];r [rad];u1;d;y2 [rad]
2.26;31.415927;6.844241507;0;26.63128092
2.27;31.415927;7.015465018;0;26.81035171
2.28;31.415927;6.541189328;0;26.81035171
2.29;31.415927;6.811348939;0;27.01141364
2.3;31.415927;6.353398874;0;27.01141364
2.31;31.415927;6.548670627;0;27.18734282
2.32;31.415927;6.810091002;0;27.38212157
2.33;31.415927;6.366167856;0;27.38212157
2.34;31.415927;6.586179671;0;27.56119235
2.35;31.415927;6.746941761;0;27.72455517
2.36;31.415927;6.31863207;0;27.72455517
2.37;31.415927;6.598845201;0;27.91619232
2.38;31.415927;6.184105307;0;27.91619232
2.39;31.415927;6.307593205;0;28.06070558
2.4;31.415927;6.510436004;0;28.22720999
2.41;31.415927;6.111207914;0;28.22720999
2.42;31.415927;6.272171361;0;28.37800644
2.43;31.415927;6.364035543;0;28.50995333
2.44;31.415927;5.981738658;0;28.50995333
2.45;31.415927;6.124965051;0;28.651325
2.46;31.415927;5.758241878;0;28.651325
2.47;31.415927;5.814546486;0;28.76442234
2.48;31.415927;5.929272409;0;28.89322764
2.49;31.415927;5.580053384;0;28.89322764
2.5;31.415927;5.59654086;0;28.99061701
2.51;31.415927;5.615992699;0;29.08800638
2.52;31.415927;5.287540596;0;29.08800638
2.53;31.415927;5.323905062;0;29.18539575
2.54;31.415927;5.011640821;0;29.18539575
2.55;31.415927;4.984299799;0;29.26079398
2.56;31.415927;4.983600897;0;29.34247538
2.57;31.415927;4.691840672;0;29.34247538
2.58;31.415927;4.706753469;0;29.42415679
2.59;31.415927;4.644906387;0;29.48384705
2.6;31.415927;4.372989118;0;29.48384705
2.61;31.415927;4.384266064;0;29.55924528
2.62;31.415927;4.126360116;0;29.55924528
2.63;31.415927;4.071848307;0;29.61265235
2.64;31.415927;4.066942531;0;29.6786258
2.65;31.415927;3.8271348;0;29.6786258
2.66;31.415927;3.789945638;0;29.73203287
2.67;31.415927;3.745049;0;29.78229836
2.68;31.415927;3.522943244;0;29.78229836
2.69;31.415927;3.491383229;0;29.83256384
2.7;31.415927;3.282042574;0;29.83256384
2.71;31.415927;3.228757928;0;29.87340454
2.72;31.415927;3.179296119;0;29.91424525
2.73;31.415927;2.986408276;0;29.91424525
2.74;31.415927;2.926242911;0;29.94880277
2.75;31.415927;2.836015708;0;29.97393551
2.76;31.415927;2.660088496;0;29.97393551
2.77;31.415927;2.59352847;0;30.00220984
2.78;31.415927;2.429058395;0;30.00220984
2.79;31.415927;2.339521822;0;30.0210594
2.8;31.415927;2.254532684;0;30.03990895
2.81;31.415927;2.106010699;0;30.03990895
2.82;31.415927;2.020424548;0;30.05561692
