Zeit [s];y_1Modell;y_1Ref;y_2Modell;y_2Ref
Winkel [rad];-;--;-;--
1.78;7.526269126;7.586946258;-7.407554683;-7.646636519
1.79;7.565968576;7.632499352;-7.448518247;-7.692189612
1.8;7.605244783;7.678052445;-7.489046382;-7.737742706
1.81;7.644102259;7.717322354;-7.529143507;-7.773871021
1.82;7.682545472;7.756592262;-7.568813972;-7.809999337
1.83;7.720578845;7.802145355;-7.608062075;-7.852410838
1.84;7.758206757;7.847698449;-7.64689208;-7.894822338
1.85;7.795433542;7.934092247;-7.685308232;-7.968649766
1.86;7.832263488;8.020486045;-7.723314763;-8.042477193
1.87;7.868700837;8.062897545;-7.760915902;-8.078605509
1.88;7.904749784;8.105309046;-7.798115869;-8.114733824
1.89;7.940414479;8.164999307;-7.834918882;-8.164999307
1.9;7.975699025;8.224689567;-7.871329152;-8.215264789
1.91;8.010607478;8.260817883;-7.907350873;-8.249822308
1.92;8.045143853;8.296946198;-7.942988224;-8.284379828
1.93;8.079312115;8.342499292;-7.978245354;-8.323649736
1.94;8.113116189;8.388052385;-8.013126385;-8.362919644
1.95;8.146559956;8.45873822;-8.047635398;-8.436747071
1.96;8.179647253;8.529424054;-8.081776431;-8.510574499
1.97;8.212381877;8.567123166;-8.115553476;-8.551415203
1.98;8.244767585;8.604822278;-8.148970474;-8.592255908
1.99;8.276808091;8.656658557;-8.182031314;-8.647233779
2;8.308507071;8.708494836;-8.214739833;-8.70221165
2.01;8.339868164;8.744623151;-8.247099814;-8.743052355
2.02;8.370894967;8.780751467;-8.279114986;-8.783893059
2.03;8.401591043;8.810596597;-8.310789032;-8.818450579
2.04;8.431959915;8.840441727;-8.342125583;-8.853008098
2.05;8.462005069;8.87342845;-8.373128226;-8.89070721
2.06;8.491729957;8.906415173;-8.403800503;-8.928406322
2.07;8.521137992;8.969247026;-8.434145916;-8.995950564
2.08;8.550232551;9.032078879;-8.464167927;-9.063494806
2.09;8.579016978;9.068207195;-8.493869962;-9.098052325
2.1;8.607494578;9.10433551;-8.523255412;-9.132609844
2.11;8.635668624;9.135751437;-8.552327633;-9.162454974
2.12;8.663542352;9.167167363;-8.581089951;-9.192300104
2.13;8.691118965;9.203295679;-8.609545656;-9.225286827
2.14;8.71840163;9.239423994;-8.637698009;-9.25827355
2.15;8.745393481;9.291260273;-8.66555024;-9.30539744
2.16;8.772097618;9.343096552;-8.693105546;-9.35252133
2.17;8.79851711;9.376083275;-8.720367095;-9.38236646
2.18;8.82465499;9.409069998;-8.74733802;-9.41221159
2.19;8.850514261;9.468760258;-8.774021425;-9.468760258
2.2;8.876097891;9.528450518;-8.800420381;-9.525308926
2.21;8.90140882;9.559866445;-8.826537925;-9.556724852
2.22;8.926449953;9.591282371;-8.852377064;-9.588140779
2.23;8.951224166;9.617985909;-8.877940771;-9.616415113
2.24;8.975734305;9.644689447;-8.903231988;-9.644689447
2.25;8.999983183;9.687100947;-8.928253622;-9.69024254
2.26;9.023973584;9.729512448;-8.953008552;-9.735795633
2.27;9.047708266;9.756215986;-8.977499621;-9.765640764
2.28;9.071189951;9.782919523;-9.001729643;-9.795485894
2.29;9.094421338;9.811193857;-9.025701402;-9.825331024
2.3;9.117405094;9.839468191;-9.049417649;-9.855176154
2.31;9.140143859;9.889733674;-9.072881108;-9.907012433
2.32;9.162640243;9.939999156;-9.096094471;-9.958848712
2.33;9.184896831;9.96827349;-9.119060402;-9.987123046
2.34;9.206916179;9.996547824;-9.141781537;-10.01539738
2.35;9.228700816;10.01853897;-9.164260483;-10.03581773
2.36;9.250253243;10.04053012;-9.186499821;-10.05623808
2.37;9.271575936;10.06880445;-9.208502102;-10.08294162
2.38;9.292671344;10.09707879;-9.230269853;-10.10964516
2.39;9.31354189;10.14577347;-9.251805572;-10.15519825
2.4;9.334189969;10.19446816;-9.273111732;-10.20075135
2.41;9.354617955;10.2211717;-9.294190781;-10.22745488
2.42;9.374828193;10.24787524;-9.315045137;-10.25415842
2.43;9.394823004;10.26986638;-9.335677198;-10.27300798
2.44;9.414604684;10.29185753;-9.356089333;-10.29185753
2.45;9.434175505;10.33426903;-9.376283885;-10.33583983
2.46;9.453537716;10.37668053;-9.396263177;-10.37982213
2.47;9.472693538;10.39867168;-9.416029501;-10.40338407
2.48;9.491645174;10.42066283;-9.435585129;-10.42694602
2.49;9.510394797;10.43951239;-9.454932308;-10.44422478
2.5;9.528944564;10.45836194;-9.47407326;-10.46150354
2.51;9.547296602;10.4787823;-9.493010182;-10.48349469
2.52;9.565453021;10.49920265;-9.511745251;-10.50548583
2.53;9.583415904;10.54004335;-9.530280619;-10.54946813
2.54;9.601187316;10.58088406;-9.548618413;-10.59345043
2.55;9.618769297;10.60130441;-9.566760739;-10.61387078
2.56;9.636163866;10.62172476;-9.584709683;-10.63429113
2.57;9.653373022;10.63900352;-9.602467303;-10.65156989
2.58;9.670398739;10.65628228;-9.620035641;-10.66884865
2.59;9.687242974;10.69398139;-9.637416713;-10.70497697
2.6;9.703907662;10.7316805;-9.654612515;-10.74110528
2.61;9.720394715;10.75210086;-9.671625022;-10.76152563
2.62;9.736706028;10.77252121;-9.688456187;-10.78194599
2.63;9.752843473;10.78979997;-9.705107944;-10.79765395
2.64;9.768808905;10.80707873;-9.721582205;-10.81336191
2.65;9.784604156;10.83064067;-9.737880862;-10.83692386
2.66;9.80023104;10.85420262;-9.754005785;-10.8604858
2.67;9.815691353;10.87148138;-9.769958828;-10.87776456
2.68;9.83098687;10.88876014;-9.785741822;-10.89504332
2.69;9.846119348;10.92174686;-9.801356581;-10.91232208
2.7;9.861090523;10.95473358;-9.816804896;-10.92960084
2.71;9.875902116;10.97201234;-9.832088543;-10.96258756
2.72;9.890555828;10.9892911;-9.847209277;-10.99557429
2.73;9.905053342;11.00499907;-9.862168835;-11.01128225
2.74;9.919396322;11.02070703;-9.876968933;-11.02699021
2.75;9.933586417;11.0348442;-9.891611273;-11.04112738
2.76;9.947625254;11.04898136;-9.906097536;-11.05526455
2.77;9.961514447;11.06468933;-9.920429386;-11.07097251
2.78;9.975255592;11.08039729;-9.934608468;-11.08668047
2.79;9.988850265;11.11024242;-9.948636411;-11.1180964
2.8;10.00230003;11.14008755;-9.962514825;-11.14951233
2.81;10.01560643;11.15422472;-9.976245306;-11.16364949
2.82;10.02877099;11.16836188;-9.989829429;-11.17778666
2.83;10.04179522;11.17935746;-10.00326876;-11.19035303
2.84;10.05468063;11.19035303;-10.01656483;-11.2029194
2.85;10.06742869;11.2044902;-10.02971917;-11.21548577
2.86;10.08004086;11.21862737;-10.0427333;-11.22805214
2.87;10.0925186;11.24218931;-10.05560871;-11.25161409
2.88;10.10486333;11.26575126;-10.06834688;-11.27517603
2.89;10.11707647;11.27831763;-10.08094926;-11.2877424
2.9;10.12915943;11.290884;-10.09341731;-11.30030877
2.91;10.1411136;11.30187957;-10.10575246;-11.30973355
2.92;10.15294034;11.31287515;-10.11795613;-11.31915833
2.93;10.16464102;11.32387072;-10.13002972;-11.3317247
2.94;10.17621697;11.33486629;-10.1419746;-11.34429107
2.95;10.18766954;11.35685744;-10.15379217;-11.36314063
2.96;10.19900003;11.37884859;-10.16548377;-11.38199018
2.97;10.21020974;11.38827337;-10.17705074;-11.39298576
2.98;10.22129996;11.39769815;-10.18849442;-11.40398133
2.99;10.23227198;11.40712293;-10.19981611;-11.41340611
3;10.24312703;11.4165477;-10.21101713;-11.42283089
3.01;10.25386638;11.42597248;-10.22209875;-11.43225567
3.02;10.26449126;11.43539726;-10.23306224;-11.44168044
3.03;10.27500288;11.45110522;-10.24390888;-11.4589592
3.04;10.28540246;11.46681319;-10.25463989;-11.47623796
3.05;10.29569118;11.47623796;-10.26525652;-11.48566274
3.06;10.30587023;11.48566274;-10.27575999;-11.49508752
3.07;10.31594078;11.49194593;-10.28615149;-11.5029415
3.08;10.32590399;11.49822911;-10.29643223;-11.51079548
3.09;10.33576099;11.50608309;-10.30660339;-11.51864946
3.1;10.34551293;11.51393708;-10.31666612;-11.52650345
3.11;10.35516092;11.52807424;-10.3266216;-11.53906982
3.12;10.36470606;11.54221141;-10.33647095;-11.55163619
3.13;10.37414947;11.54849459;-10.34621532;-11.55791937
3.14;10.38349221;11.55477778;-10.35585582;-11.56420256
3.15;10.39273536;11.56106097;-10.36539356;-11.57048574
3.16;10.40187999;11.56734415;-10.37482963;-11.57676893
3.17;10.41092715;11.57833972;-10.38416513;-11.58305211
3.18;10.41987786;11.5893353;-10.39340111;-11.5893353
3.19;10.42873317;11.59404769;-10.40253864;-11.59876008
3.2;10.43749409;11.59876008;-10.41157877;-11.60818486
3.21;10.44616162;11.60347247;-10.42052255;-11.61289724
3.22;10.45473676;11.60818486;-10.42937098;-11.61760963
