Zeit [s];r [rad];d;y2Systune [rad];y2Genetic [rad];y2DifferentialEvol [rad]
1.64;31.415927;0;10.5211938;16.28287472;14.31309613
1.65;31.415927;0;10.5211938;16.64729947;14.31309613
1.66;31.415927;0;10.69712299;16.64729947;14.69951203
1.67;31.415927;0;10.85106103;17.03685696;14.69951203
1.68;31.415927;0;10.85106103;17.03685696;15.06393677
1.69;31.415927;0;11.03013181;17.4044233;15.45977745
1.7;31.415927;0;11.19663622;17.81597194;15.45977745
1.71;31.415927;0;11.19663622;17.81597194;15.80849423
1.72;31.415927;0;11.38827337;18.20238783;16.2074765
1.73;31.415927;0;11.55163619;18.53539666;16.2074765
1.74;31.415927;0;11.55163619;18.53539666;16.55619328
1.75;31.415927;0;11.72756538;18.90924618;16.9771667
1.76;31.415927;0;11.87836182;19.21083908;16.9771667
1.77;31.415927;0;11.87836182;19.21083908;17.37300737
1.78;31.415927;0;12.04486623;19.59725497;17.73429053
1.79;31.415927;0;12.04486623;19.9271222;17.73429053
1.8;31.415927;0;12.19880427;19.9271222;18.13955598
1.81;31.415927;0;12.36530868;20.29468854;18.13955598
1.82;31.415927;0;12.36530868;20.29468854;18.49141436
1.83;31.415927;0;12.51924672;20.58999825;18.88097185
1.84;31.415927;0;12.66061839;20.93871504;18.88097185
1.85;31.415927;0;12.66061839;20.93871504;19.26110456
1.86;31.415927;0;12.80827325;21.25915749;19.56898064
1.87;31.415927;0;12.94650333;21.55760879;19.56898064
1.88;31.415927;0;12.94650333;21.55760879;19.93340539
1.89;31.415927;0;13.09415818;21.86862646;19.93340539
1.9;31.415927;0;13.09415818;22.13880343;20.25384784
1.91;31.415927;0;13.22924666;22.13880343;20.6119894
1.92;31.415927;0;13.3831847;22.44039632;20.6119894
1.93;31.415927;0;13.3831847;22.72313966;20.94499822
1.94;31.415927;0;13.52769797;22.72313966;21.2528743
1.95;31.415927;0;13.65650327;23.02159097;21.2528743
1.96;31.415927;0;13.65650327;23.29805112;21.58274153
1.97;31.415927;0;13.80415812;23.29805112;21.86862646
1.98;31.415927;0;13.92982183;23.6059272;21.86862646
1.99;31.415927;0;13.92982183;23.6059272;22.21734325
2;31.415927;0;14.07747668;23.88867054;22.48123703
2.01;31.415927;0;14.21570676;24.14628114;22.48123703
2.02;31.415927;0;14.21570676;24.14628114;22.82052904
2.03;31.415927;0;14.3696448;24.42902447;22.82052904
2.04;31.415927;0;14.3696448;24.67092711;23.11898034
2.05;31.415927;0;14.50159169;24.67092711;23.47083871
2.06;31.415927;0;14.65238814;24.93482089;23.47083871
2.07;31.415927;0;14.65238814;24.93482089;23.75358205
2.08;31.415927;0;14.79061821;25.17358193;24.0331838
2.09;31.415927;0;14.91942351;25.39035183;24.0331838
2.1;31.415927;0;14.91942351;25.39035183;24.33791829
2.11;31.415927;0;15.06079518;25.62282968;24.33791829
2.12;31.415927;0;15.17703411;25.82075002;24.59552888
2.13;31.415927;0;15.17703411;25.82075002;24.87827222
2.14;31.415927;0;15.31526419;26.02809513;24.87827222
2.15;31.415927;0;15.31526419;26.19774114;25.14844919
2.16;31.415927;0;15.42836152;26.19774114;25.3589359
2.17;31.415927;0;15.55402523;26.40194466;25.3589359
2.18;31.415927;0;15.55402523;26.40194466;25.60712172
2.19;31.415927;0;15.66398097;26.56530748;25.80504206
2.2;31.415927;0;15.78964468;26.76636941;25.80504206
2.21;31.415927;0;15.78964468;26.76636941;26.03437832
2.22;31.415927;0;15.91530838;26.9422986;26.03437832
2.23;31.415927;0;16.0346889;27.08995345;26.21659069
2.24;31.415927;0;16.0346889;27.08995345;26.43336059
2.25;31.415927;0;16.16035261;27.25645786;26.43336059
2.26;31.415927;0;16.27973313;27.4103959;26.63128092
2.27;31.415927;0;16.27973313;27.4103959;26.81035171
2.28;31.415927;0;16.40539684;27.55805076;26.81035171
2.29;31.415927;0;16.52477736;27.69313924;27.01141364
2.3;31.415927;0;16.52477736;27.69313924;27.01141364
2.31;31.415927;0;16.65986584;27.85021887;27.18734282
2.32;31.415927;0;16.65986584;27.9664578;27.38212157
2.33;31.415927;0;16.76982158;27.9664578;27.38212157
2.34;31.415927;0;16.90176848;28.11411266;27.56119235
2.35;31.415927;0;16.90176848;28.22720999;27.72455517
2.36;31.415927;0;17.0180074;28.22720999;27.72455517
2.37;31.415927;0;17.12482155;28.35915688;27.91619232
2.38;31.415927;0;17.12482155;28.35915688;27.91619232
2.39;31.415927;0;17.24420208;28.47225422;28.06070558
2.4;31.415927;0;17.34787463;28.57592678;28.22720999
2.41;31.415927;0;17.34787463;28.57592678;28.22720999
2.42;31.415927;0;17.46411356;28.68274093;28.37800644
2.43;31.415927;0;17.56150293;28.77070552;28.50995333
2.44;31.415927;0;17.56150293;28.77070552;28.50995333
2.45;31.415927;0;17.67145868;28.86181171;28.651325
2.46;31.415927;0;17.77513123;28.93406834;28.651325
2.47;31.415927;0;17.77513123;28.93406834;28.76442234
2.48;31.415927;0;17.89137016;29.01260816;28.89322764
2.49;31.415927;0;17.98561794;29.01260816;28.89322764
2.5;31.415927;0;17.98561794;29.08486479;28.99061701
2.51;31.415927;0;18.09243209;29.15712142;29.08800638
2.52;31.415927;0;18.09243209;29.15712142;29.08800638
2.53;31.415927;0;18.20552943;29.23566123;29.18539575
2.54;31.415927;0;18.29977721;29.28592672;29.18539575
2.55;31.415927;0;18.39088339;29.28592672;29.26079398
2.56;31.415927;0;18.39088339;29.34875857;29.34247538
2.57;31.415927;0;18.51026391;29.39588246;29.34247538
2.58;31.415927;0;18.51026391;29.39588246;29.42415679
2.59;31.415927;0;18.61079488;29.45243113;29.48384705
2.6;31.415927;0;18.70190107;29.45243113;29.48384705
2.61;31.415927;0;18.70190107;29.48698865;29.55924528
2.62;31.415927;0;18.80871522;29.53097094;29.55924528
2.63;31.415927;0;18.89353822;29.53097094;29.61265235
2.64;31.415927;0;18.89353822;29.56238687;29.6786258
2.65;31.415927;0;18.99721078;29.59694439;29.6786258
2.66;31.415927;0;19.08831696;29.59694439;29.73203287
2.67;31.415927;0;19.08831696;29.62521872;29.78229836
2.68;31.415927;0;19.19198952;29.64720987;29.78229836
2.69;31.415927;0;19.19198952;29.64720987;29.83256384
2.7;31.415927;0;19.27995412;29.67234261;29.83256384
2.71;31.415927;0;19.38048508;29.68805058;29.87340454
2.72;31.415927;0;19.38048508;29.68805058;29.91424525
2.73;31.415927;0;19.47473286;29.70690013;29.91424525
2.74;31.415927;0;19.55955586;29.70690013;29.94880277
2.75;31.415927;0;19.55955586;29.7194665;29.97393551
2.76;31.415927;0;19.66322842;29.73203287;29.97393551
2.77;31.415927;0;19.66322842;29.73203287;30.00220984
2.78;31.415927;0;19.74490983;29.74145765;30.00220984
