Zeit [s];y_1;y_2
Winkel [rad];-;-
4.62;11.65845034;-11.66159193
4.64;11.65845034;-11.66159193
4.66;11.65845034;-11.66159193
4.68;11.65845034;-11.66159193
4.7;11.65845034;-11.66159193
4.72;11.65845034;-11.66159193
4.74;11.65845034;-11.66159193
4.76;11.65845034;-11.66159193
4.78;11.65845034;-11.66159193
4.8;11.65845034;-11.66159193
4.82;11.65845034;-11.66159193
4.84;11.65845034;-11.66159193
4.86;11.65845034;-11.66159193
4.88;11.65845034;-11.66159193
4.9;11.65845034;-11.66159193
4.92;11.65845034;-11.66159193
4.94;11.65845034;-11.66159193
4.96;11.65845034;-11.66159193
4.98;11.65845034;-11.66159193
5;11.65845034;-11.66159193
5.02;11.65845034;-11.66159193
5.04;11.64588397;-11.66159193
5.06;11.60818486;-11.65845034
5.08;11.57362734;-11.65530874
5.1;11.53906982;-11.64902556
5.12;11.44796363;-11.62075123
5.14;11.39769815;-11.59247689
5.16;11.34743266;-11.55477778
5.18;11.30030877;-11.51707867
5.2;11.2469017;-11.46053
5.22;11.14322914;-11.31915833
5.24;11.08668047;-11.24061851
5.26;11.0332734;-11.15893711
5.28;10.91075129;-10.98614951
5.3;10.83221147;-10.87933536
5.32;10.75681325;-10.79451236
5.34;10.65942387;-10.6908398
5.36;10.46150354;-10.50548583
5.38;10.33898142;-10.39867168
5.4;10.23216727;-10.3075655
5.42;10.0907956;-10.19760975
5.44;9.842609784;-9.993406231
5.46;9.698096522;-9.867742525
5.48;9.569291223;-9.751503597
5.5;9.421636368;-9.610131927
5.52;9.157742585;-9.333671774
5.54;9.028937286;-9.167167363
5.56;8.925264729;-9.025795694
5.58;8.705353243;-8.853008098
5.6;8.592255908;-8.529424054
5.62;8.479158572;-8.375486014
5.64;8.369202829;-8.243539123
5.66;8.12101701;-7.96707897
5.68;7.992211711;-7.835132078
5.7;7.863406412;-7.728317928
5.72;7.712609965;-7.608937407
5.74;7.429866626;-7.404733885
5.76;7.291636549;-7.297919734
5.78;7.16283125;-7.206813547
5.8;7.024601173;-7.087433026
5.82;6.785840132;-6.880087911
5.84;6.666459611;-6.757565798
5.86;6.572211831;-6.650751648
5.88;6.462256088;-6.521946349
5.9;6.276902122;-6.276902122
5.92;6.176371157;-6.14495523
5.94;6.088406563;-6.031857895
5.96;5.987875598;-5.906194189
5.98;5.789955261;-5.686282703
6;5.676857925;-5.585751738
6.02;5.573185367;-5.494645551
6.04;5.453804847;-5.397256179
6.06;5.233893361;-5.230751768
6.08;5.120796025;-5.136503989
6.1;5.017123468;-5.05482258
6.12;4.812919945;-4.888318169
6.14;4.709247388;-4.781504019
6.16;4.618141201;-4.684114647
6.18;4.536459792;-4.589866867
6.2;4.369955381;-4.388804937
6.22;4.291415565;-4.278849194
6.24;4.219158934;-4.181459822
6.26;4.134335932;-4.074645672
6.28;3.970973114;-3.892433298
6.3;3.88300852;-3.798185518
6.32;3.78876074;-3.716504109
6.34;3.700796146;-3.644247478
6.36;3.609689959;-3.568849254
6.38;3.418052807;-3.418052807
6.4;3.32694662;-3.345796176
6.42;3.245265211;-3.276681138
6.44;3.081902393;-3.122743098
6.46;3.000220984;-3.041061689
6.48;2.927964353;-2.95938028
6.5;2.861990907;-2.880840463
6.52;2.726902423;-2.796017462
6.54;2.657787385;-2.635796236
6.56;2.591813939;-2.55725642
6.58;2.532123679;-2.488141382
6.6;2.393893602;-2.349911305
6.62;2.318495378;-2.280796267
6.64;2.252521933;-2.221106006
6.66;2.173982116;-2.15513256
6.68;2.051460003;-2.042035225
6.7;1.982344964;-1.979203372
6.72;1.922654704;-1.922654704
6.74;1.859822851;-1.859822851
6.76;1.746725515;-1.743583923
6.78;1.690176848;-1.677610477
6.8;1.643052958;-1.624203402
6.82;1.58650429;-1.564513141
6.84;1.485973325;-1.460840584
6.86;1.429424657;-1.407433509
6.88;1.382300768;-1.360309619
6.9;1.328893692;-1.310044137
6.92;1.234645913;-1.222079542
6.94;1.18438043;-1.17181406
6.96;1.140398133;-1.130973355
6.98;1.093274243;-1.083849465
7;1.011592834;-1.002168056
7.02;0.97075213;-0.958185759
7.04;0.933053018;-0.920486648
7.06;0.892212314;-0.87650435
7.08;0.823097275;-0.804247719
7.1;0.788539756;-0.7696902
7.12;0.753982237;-0.735132681
7.14;0.684867198;-0.669159235
7.16;0.650309679;-0.637743309
7.18;0.61575216;-0.606327382
7.2;0.587477826;-0.578053048
7.22;0.530929158;-0.546637122
7.24;0.499513232;-0.490088454
7.26;0.471238898;-0.46181412
7.28;0.449247749;-0.436681379
7.3;0.398982267;-0.408407045
7.32;0.373849526;-0.361283155
7.34;0.348716785;-0.336150414
7.36;0.329867229;-0.317300858
7.38;0.285884931;-0.273318561
7.4;0.263893783;-0.251327412
7.42;0.245044227;-0.232477856
7.44;0.226194671;-0.216769893
7.46;0.191637152;-0.182212374
7.48;0.172787596;-0.163362818
7.5;0.157079633;-0.150796447
7.52;0.141371669;-0.131946891
7.54;0.113097336;-0.103672558
7.56;0.100530965;-0.091106187
7.58;0.087964594;-0.078539816
7.6;0.075398224;-0.065973446
7.62;0.053407075;-0.043982297
7.64;0.043982297;-0.034557519
7.66;0.034557519;-0.025132741
7.68;0.025132741;-0.015707963
7.7;0.009424778;5.68E-14
7.72;0.003141593;0.006283185
7.74;-0.003141593;0.012566371
7.76;-0.009424778;0.015707963
7.78;-0.018849556;0.025132741
7.8;-0.021991149;0.031415927
7.82;-0.021991149;0.031415927
7.84;-0.025132741;0.037699112
7.86;-0.028274334;0.037699112
7.88;-0.028274334;0.037699112
7.9;-0.028274334;0.037699112
7.92;-0.025132741;0.034557519
7.94;-0.025132741;0.031415927
7.96;-0.025132741;0.031415927
7.98;-0.025132741;0.028274334
8;-0.025132741;0.028274334
8.02;-0.025132741;0.028274334
8.04;-0.025132741;0.025132741
8.06;-0.025132741;0.025132741
8.08;-0.025132741;0.028274334
8.1;-0.025132741;0.028274334
8.12;-0.025132741;0.028274334
8.14;-0.025132741;0.028274334
8.16;-0.025132741;0.028274334
8.18;-0.025132741;0.028274334
8.2;-0.025132741;0.028274334
8.22;-0.025132741;0.028274334
8.24;-0.025132741;0.028274334
8.26;-0.025132741;0.028274334
8.28;-0.025132741;0.028274334
8.3;-0.025132741;0.028274334
8.32;-0.025132741;0.028274334
8.34;-0.025132741;0.028274334
8.36;-0.025132741;0.028274334
8.38;-0.025132741;0.028274334
8.4;-0.025132741;0.028274334
8.42;-0.025132741;0.028274334
8.44;-0.025132741;0.028274334
8.46;-0.025132741;0.028274334
8.48;-0.025132741;0.028274334
8.5;-0.025132741;0.028274334
8.52;-0.025132741;0.028274334
8.54;-0.025132741;0.028274334
8.56;-0.025132741;0.028274334
8.58;-0.025132741;0.028274334
8.6;-0.025132741;0.028274334
8.62;-0.025132741;0.028274334
8.64;-0.025132741;0.028274334
8.66;-0.025132741;0.028274334
8.68;-0.025132741;0.028274334
8.7;-0.025132741;0.028274334
8.72;-0.025132741;0.028274334
8.74;-0.025132741;0.028274334
8.76;-0.025132741;0.028274334
8.78;-0.025132741;0.028274334
8.8;-0.025132741;0.028274334
8.82;-0.025132741;0.028274334
8.84;-0.025132741;0.028274334
8.86;-0.025132741;0.028274334
8.88;-0.025132741;0.028274334
8.9;-0.025132741;0.028274334
8.92;-0.025132741;0.028274334
8.94;-0.025132741;0.028274334
8.96;-0.025132741;0.028274334
8.98;-0.025132741;0.028274334
9;-0.025132741;0.028274334
9.02;-0.025132741;0.028274334
9.04;-0.025132741;0.028274334
9.06;-0.025132741;0.028274334
9.08;-0.025132741;0.028274334
9.1;-0.025132741;0.028274334
9.12;-0.025132741;0.028274334
9.14;-0.025132741;0.028274334
9.16;-0.025132741;0.028274334
9.18;-0.025132741;0.028274334
9.2;-0.025132741;0.028274334
9.22;-0.025132741;0.028274334
9.24;-0.025132741;0.028274334
9.26;-0.025132741;0.028274334
9.28;-0.025132741;0.028274334
9.3;-0.025132741;0.028274334
9.32;-0.025132741;0.028274334
9.34;-0.025132741;0.028274334
9.36;-0.025132741;0.028274334
9.38;-0.025132741;0.028274334
9.4;-0.025132741;0.028274334
9.42;-0.025132741;0.028274334
9.44;-0.025132741;0.028274334
9.46;-0.025132741;0.028274334
9.48;-0.025132741;0.028274334
9.5;-0.025132741;0.028274334
9.52;-0.025132741;0.028274334
9.54;-0.025132741;0.028274334
9.56;-0.025132741;0.028274334
9.58;-0.025132741;0.028274334
9.6;-0.025132741;0.028274334
9.62;-0.025132741;0.028274334
9.64;-0.025132741;0.028274334
9.66;-0.025132741;0.028274334
9.68;-0.025132741;0.028274334
9.7;-0.025132741;0.028274334
9.72;-0.025132741;0.028274334
9.74;-0.025132741;0.028274334
9.76;-0.025132741;0.028274334
9.78;-0.025132741;0.028274334
9.8;-0.025132741;0.028274334
9.82;-0.025132741;0.028274334
9.84;-0.025132741;0.028274334
9.86;-0.025132741;0.028274334
9.88;-0.025132741;0.028274334
9.9;-0.025132741;0.028274334
9.92;-0.025132741;0.028274334
9.94;-0.025132741;0.028274334
9.96;-0.025132741;0.028274334
9.98;-0.025132741;0.028274334
10;-0.025132741;0.028274334
10.02;-0.025132741;0.028274334
10.04;-0.025132741;0.028274334
10.06;-0.025132741;0.028274334
10.08;-0.025132741;0.028274334
10.1;-0.025132741;0.028274334
10.12;-0.025132741;0.028274334
10.14;-0.025132741;0.028274334
10.16;-0.025132741;0.028274334
10.18;-0.025132741;0.028274334
10.2;-0.025132741;0.028274334
10.22;-0.025132741;0.028274334
10.24;-0.025132741;0.028274334
10.26;-0.025132741;0.028274334
10.28;-0.025132741;0.028274334
10.3;-0.025132741;0.028274334
10.32;-0.025132741;0.028274334
10.34;-0.025132741;0.028274334
10.36;-0.025132741;0.028274334
10.38;-0.025132741;0.028274334
10.4;-0.025132741;0.028274334
10.42;-0.025132741;0.028274334
10.44;-0.025132741;0.028274334
10.46;-0.025132741;0.028274334
10.48;-0.025132741;0.028274334
10.5;-0.025132741;0.028274334
10.52;-0.025132741;0.028274334
10.54;-0.025132741;0.028274334
10.56;-0.025132741;0.028274334
10.58;-0.025132741;0.028274334
10.6;-0.025132741;0.028274334
10.62;-0.025132741;0.028274334
10.64;-0.025132741;0.028274334
10.66;-0.025132741;0.028274334
10.68;-0.025132741;0.028274334
10.7;-0.025132741;0.028274334
10.72;-0.025132741;0.028274334
10.74;-0.025132741;0.028274334
10.76;-0.025132741;0.028274334
10.78;-0.025132741;0.028274334
10.8;-0.025132741;0.028274334
10.82;-0.025132741;0.028274334
10.84;-0.025132741;0.028274334
10.86;-0.025132741;0.028274334
10.88;-0.025132741;0.028274334
10.9;-0.025132741;0.028274334
10.92;-0.025132741;0.028274334
10.94;-0.025132741;0.028274334
10.96;-0.025132741;0.028274334
10.98;-0.025132741;0.028274334
11;-0.025132741;0.028274334
11.02;-0.025132741;0.028274334
11.04;-0.025132741;0.040840704
11.06;-0.025132741;0.053407075
11.08;-0.028274334;0.069115038
11.1;-0.034557519;0.109955743
11.12;-0.040840704;0.135088484
11.14;-0.053407075;0.160221225
11.16;-0.069115038;0.185353967
11.18;-0.113097336;0.232477856
11.2;-0.144513262;0.257610598
11.22;-0.179070781;0.279601746
11.24;-0.216769893;0.304734487
11.26;-0.295309709;0.35499997
11.28;-0.342433599;0.389557489
11.3;-0.386415896;0.420973416
11.32;-0.433539786;0.464955713
11.34;-0.518362788;0.552920307
11.36;-0.56862827;0.609468975
11.38;-0.612610567;0.659734457
11.4;-0.666017643;0.72256631
11.42;-0.763407015;0.845088424
11.44;-0.823097275;0.917345055
11.46;-0.87650435;0.973893723
11.48;-0.939336203;1.039867168
11.5;-1.07756628;1.174955652
11.52;-1.149822911;1.244070691
11.54;-1.225221135;1.303760951
11.56;-1.382300768;1.423141472
11.58;-1.470265362;1.482831732
11.6;-1.545663586;1.536238808
11.62;-1.630486587;1.595929068
11.64;-1.774999849;1.712167996
11.66;-1.84725648;1.781283035
11.68;-1.903805148;1.837831702
11.7;-1.966637001;1.910088333
11.72;-2.073451151;2.054601595
11.74;-2.123716634;2.123716634
11.76;-2.170840524;2.192831672
11.78;-2.271371489;2.265088303
11.8;-2.331061749;2.397035195
11.82;-2.387610417;2.456725455
11.84;-2.437875899;2.506990938
11.86;-2.560398013;2.601238717
11.88;-2.626371458;2.654645792
11.9;-2.686061719;2.698628089
11.92;-2.752035165;2.745751979
11.94;-2.8651325;2.836858166
11.96;-2.921681168;2.890265241
11.98;-2.968805058;2.937389131
12;-3.015928947;2.990796206
12.02;-3.100751949;3.097610356
12.04;-3.147875839;3.154159024
12.06;-3.182433358;3.201282914
12.08;-3.223274063;3.251548396
12.1;-3.304955472;3.339512991
12.12;-3.352079361;3.386636881
12.14;-3.392920066;3.424335992
12.16;-3.440043956;3.465176697
12.18;-3.52800855;3.537433328
12.2;-3.571990847;3.57513244
12.22;-3.609689959;3.606548366
12.24;-3.650530663;3.647389071
12.26;-3.719645702;3.719645702
12.28;-3.754203221;3.760486406
12.3;-3.782477555;3.795043926
12.32;-3.813893481;3.832743037
12.34;-3.870442149;3.898716483
12.36;-3.901858076;3.93013241
12.38;-3.933274002;3.958406744
12.4;-3.964689929;3.986681077
12.42;-4.024380189;4.040088153
12.44;-4.052654523;4.065220894
12.46;-4.077787264;4.087212042
12.48;-4.106061598;4.112344784
12.5;-4.150043895;4.159468673
12.52;-4.168893451;4.184601415
12.54;-4.187743007;4.206592563
12.56;-4.225442119;4.244291675
12.58;-4.244291675;4.263141231
12.6;-4.263141231;4.281990787
12.62;-4.278849194;4.29769875
12.64;-4.310265121;4.325973084
12.66;-4.325973084;4.341681047
12.68;-4.338539455;4.351105825
12.7;-4.351105825;4.363672196
12.72;-4.369955381;4.385663344
12.74;-4.379380159;4.398229715
12.76;-4.385663344;4.407654493
12.78;-4.39194653;4.413937678
12.8;-4.4045129;4.423362456
12.82;-4.410796086;4.429645642
12.84;-4.413937678;4.429645642
12.86;-4.417079271;4.432787234
12.88;-4.420220864;4.435928827
12.9;-4.420220864;4.435928827
12.92;-4.417079271;4.435928827
12.94;-4.417079271;4.435928827
12.96;-4.417079271;4.429645642
12.98;-4.417079271;4.429645642
13;-4.417079271;4.426504049
13.02;-4.417079271;4.426504049
13.04;-4.417079271;4.423362456
13.06;-4.413937678;4.423362456
13.08;-4.413937678;4.423362456
13.1;-4.413937678;4.426504049
13.12;-4.417079271;4.426504049
13.14;-4.417079271;4.426504049
13.16;-4.417079271;4.426504049
13.18;-4.413937678;4.426504049
13.2;-4.417079271;4.426504049
13.22;-4.417079271;4.426504049
13.24;-4.413937678;4.426504049
13.26;-4.413937678;4.426504049
13.28;-4.417079271;4.426504049
13.3;-4.413937678;4.426504049
13.32;-4.417079271;4.426504049
13.34;-4.413937678;4.426504049
13.36;-4.413937678;4.426504049
13.38;-4.413937678;4.426504049
13.4;-4.413937678;4.426504049
13.42;-4.413937678;4.426504049
13.44;-4.413937678;4.426504049
13.46;-4.413937678;4.426504049
13.48;-4.413937678;4.426504049
13.5;-4.413937678;4.426504049
13.52;-4.413937678;4.426504049
13.54;-4.413937678;4.426504049
13.56;-4.413937678;4.426504049
13.58;-4.413937678;4.426504049
13.6;-4.413937678;4.426504049
13.62;-4.413937678;4.426504049
13.64;-4.413937678;4.426504049
13.66;-4.413937678;4.426504049
13.68;-4.413937678;4.426504049
13.7;-4.413937678;4.426504049
13.72;-4.413937678;4.426504049
13.74;-4.413937678;4.426504049
13.76;-4.413937678;4.426504049
13.78;-4.413937678;4.426504049
13.8;-4.417079271;4.426504049
13.82;-4.413937678;4.426504049
13.84;-4.413937678;4.426504049
13.86;-4.413937678;4.426504049
13.88;-4.417079271;4.426504049
13.9;-4.417079271;4.426504049
13.92;-4.413937678;4.426504049
13.94;-4.413937678;4.426504049
13.96;-4.413937678;4.426504049
13.98;-4.417079271;4.426504049
14;-4.413937678;4.426504049
14.02;-4.417079271;4.426504049
14.04;-4.417079271;4.426504049
14.06;-4.417079271;4.426504049
14.08;-4.417079271;4.426504049
14.1;-4.413937678;4.426504049
14.12;-4.417079271;4.426504049
14.14;-4.417079271;4.426504049
14.16;-4.417079271;4.426504049
14.18;-4.413937678;4.426504049
14.2;-4.417079271;4.426504049
14.22;-4.413937678;4.426504049
14.24;-4.413937678;4.426504049
14.26;-4.417079271;4.426504049
14.28;-4.417079271;4.426504049
14.3;-4.417079271;4.426504049
