Zeit [s];r [rad];u1;d;y2 [rad]
2.07;31.415927;6.441328276;0;24.93482089
2.08;31.415927;6.745709338;0;25.17358193
2.09;31.415927;6.975230635;0;25.39035183
2.1;31.415927;6.511634272;0;25.39035183
2.11;31.415927;6.807205654;0;25.62282968
2.12;31.415927;6.988038779;0;25.82075002
2.13;31.415927;6.537171251;0;25.82075002
2.14;31.415927;6.764890589;0;26.02809513
2.15;31.415927;6.869795712;0;26.19774114
2.16;31.415927;6.435241185;0;26.19774114
2.17;31.415927;6.668613727;0;26.40194466
2.18;31.415927;6.248365046;0;26.40194466
2.19;31.415927;6.365353906;0;26.56530748
2.2;31.415927;6.602811697;0;26.76636941
2.21;31.415927;6.196397836;0;26.76636941
2.22;31.415927;6.366706308;0;26.9422986
2.23;31.415927;6.445551475;0;27.08995345
2.24;31.415927;6.055363973;0;27.08995345
2.25;31.415927;6.211224164;0;27.25645786
2.26;31.415927;6.325953154;0;27.4103959
2.27;31.415927;5.950393218;0;27.4103959
2.28;31.415927;6.060242659;0;27.55805076
2.29;31.415927;6.130216218;0;27.69313924
2.3;31.415927;5.771160994;0;27.69313924
2.31;31.415927;5.926884299;0;27.85021887
2.32;31.415927;5.951109606;0;27.9664578
2.33;31.415927;5.607605874;0;27.9664578
2.34;31.415927;5.748232947;0;28.11411266
2.35;31.415927;5.777692521;0;28.22720999
2.36;31.415927;5.449126795;0;28.22720999
2.37;31.415927;5.554050323;0;28.35915688
2.38;31.415927;5.238463587;0;28.35915688
2.39;31.415927;5.295793538;0;28.47225422
2.4;31.415927;5.32428848;0;28.57592678
2.41;31.415927;5.024534123;0;28.57592678
2.42;31.415927;5.077046675;0;28.68274093
2.43;31.415927;5.070695635;0;28.77070552
2.44;31.415927;4.787047685;0;28.77070552
2.45;31.415927;4.80497849;0;28.86181171
2.46;31.415927;4.764941809;0;28.93406834
2.47;31.415927;4.498514327;0;28.93406834
2.48;31.415927;4.492942156;0;29.01260816
2.49;31.415927;4.239779534;0;29.01260816
2.5;31.415927;4.22692485;0;29.08486479
2.51;31.415927;4.21680562;0;29.15712142
2.52;31.415927;3.979102316;0;29.15712142
2.53;31.415927;4.001108646;0;29.23566123
2.54;31.415927;3.934570923;0;29.28592672
2.55;31.415927;3.712086961;0;29.28592672
2.56;31.415927;3.698659857;0;29.34875857
2.57;31.415927;3.637655371;0;29.39588246
2.58;31.415927;3.430396458;0;29.39588246
2.59;31.415927;3.411568845;0;29.45243113
2.6;31.415927;3.215067034;0;29.45243113
2.61;31.415927;3.136503427;0;29.48698865
2.62;31.415927;3.092163861;0;29.53097094
2.63;31.415927;2.910817685;0;29.53097094
2.64;31.415927;2.836796072;0;29.56238687
2.65;31.415927;2.776702401;0;29.59694439
2.66;31.415927;2.609968001;0;29.59694439
2.67;31.415927;2.539966218;0;29.62521872
2.68;31.415927;2.453607953;0;29.64720987
2.69;31.415927;2.301306566;0;29.64720987
2.7;31.415927;2.235152976;0;29.67234261
2.71;31.415927;2.142383627;0;29.68805058
2.72;31.415927;2.003751879;0;29.68805058
2.73;31.415927;1.930704408;0;29.70690013
2.74;31.415927;1.801095413;0;29.70690013
2.75;31.415927;1.716692519;0;29.7194665
2.76;31.415927;1.636042627;0;29.73203287
2.77;31.415927;1.51895945;0;29.73203287
2.78;31.415927;1.436573625;0;29.74145765
2.79;31.415927;1.347754557;0;29.74774084
2.8;31.415927;1.242653051;0;29.74774084
2.81;31.415927;1.151752702;0;29.75088243
2.82;31.415927;1.064574581;0;29.75402402
2.83;31.415927;0.970961076;0;29.75402402
2.84;31.415927;0.891090523;0;29.75716561
2.85;31.415927;0.804493117;0;29.75716561
2.86;31.415927;0.721349672;0;29.75716561
2.87;31.415927;0.641522423;0;29.75716561
2.88;31.415927;0.554869952;0;29.75402402
2.89;31.415927;0.481586143;0;29.75402402
2.9;31.415927;0.401216123;0;29.75088243
2.91;31.415927;0.333964185;0;29.75088243
2.92;31.415927;0.259385449;0;29.74774084
2.93;31.415927;0.187684658;0;29.74459924
2.94;31.415927;0.128756169;0;29.74459924
2.95;31.415927;0.052159749;0;29.73831606
2.96;31.415927;-0.011565746;0;29.73517447
2.97;31.415927;-0.062837038;0;29.73517447
2.98;31.415927;-0.132081675;0;29.72889128
2.99;31.415927;-0.198757767;0;29.7226081
3;31.415927;-0.242949463;0;29.7226081
3.01;31.415927;-0.295387731;0;29.7194665
3.02;31.415927;-0.345831144;0;29.71632491
3.03;31.415927;-0.38435012;0;29.71632491
3.04;31.415927;-0.431341927;0;29.71318332
3.05;31.415927;-0.476556116;0;29.71004172
3.06;31.415927;-0.510054439;0;29.71004172
3.07;31.415927;-0.542216697;0;29.71004172
3.08;31.415927;-0.573096181;0;29.71004172
3.09;31.415927;-0.602744054;0;29.71004172
3.1;31.415927;-0.631209441;0;29.71004172
3.11;31.415927;-0.658539505;0;29.71004172
3.12;31.415927;-0.684779529;0;29.71004172
3.13;31.415927;-0.699963843;0;29.71318332
3.14;31.415927;-0.724455065;0;29.71318332
3.15;31.415927;-0.737960328;0;29.71632491
3.16;31.415927;-0.760839469;0;29.71632491
3.17;31.415927;-0.782806098;0;29.71632491
3.18;31.415927;-0.793887464;0;29.7194665
3.19;31.415927;-0.814439387;0;29.7194665
3.2;31.415927;-0.834171621;0;29.7194665
3.21;31.415927;-0.853116861;0;29.7194665
3.22;31.415927;-0.871306495;0;29.7194665
3.23;31.415927;-0.888770663;0;29.7194665
3.24;31.415927;-0.905538299;0;29.7194665
3.25;31.415927;-0.921637185;0;29.7194665
3.26;31.415927;-0.937093996;0;29.7194665
3.27;31.415927;-0.95193434;0;29.7194665
3.28;31.415927;-0.966182805;0;29.7194665
3.29;31.415927;-0.979863;0;29.7194665
3.3;31.415927;-0.99299759;0;29.7194665
3.31;31.415927;-1.005608337;0;29.7194665
3.32;31.415927;-1.017716134;0;29.7194665
3.33;31.415927;-1.029341043;0;29.7194665
3.34;31.415927;-1.040502324;0;29.7194665
3.35;31.415927;-1.051218468;0;29.7194665
