Result_1Epoche;Result_1Durchschnitt;Result_2Durchschnitt;Result_3Durchschnitt;Result_4Durchschnitt;Result_5Durchschnitt
Fehler;-;-;-;-;-
0;1;1;1;1;1
0;0808FF;0642FF;057DFF;04B7FF;03F2FF
36;5833.391318;4915.046933;5123.110846;4782.714179;5851.957469
37;5729.655062;4799.595873;5052.365405;4736.742537;5746.357801
38;5585.207016;4686.564380;5004.466651;4831.634029;5634.918368
39;5470.486948;4577.988457;5262.610432;4842.834400;5645.077973
40;5352.759300;4479.101774;5237.969227;4809.842854;5675.876029
41;5286.352615;4386.619908;5133.167607;5031.914986;5718.412190
42;5191.220817;4315.454202;5090.742947;5021.969716;5852.772031
43;5079.576898;4287.980574;4989.892170;5006.720322;5977.746793
44;4976.379625;4241.049383;4923.353973;5024.200623;6037.775112
45;4894.629307;4179.467617;4921.671064;4902.088071;6106.518997
46;4864.866659;4159.397536;4841.343950;4901.389354;6303.077771
47;4847.027783;4211.687916;4880.244924;4823.096530;6346.251628
48;4813.481654;4218.678227;4981.128043;4787.102602;6141.149156
49;4759.053343;4227.685885;4871.361465;4703.282885;6173.113685
50;4698.589625;4311.308310;4769.951400;4659.470122;5970.799167
51;4642.020750;4548.624612;4747.933222;4634.353141;5785.935423
52;4619.010122;4497.079949;4740.850632;4615.099406;5611.539314
53;4593.386240;4565.995556;4891.024098;4528.891444;5489.588148
54;4615.302796;4730.099175;4958.362597;4504.676856;5349.320145
55;4697.872132;4762.216508;4814.718320;4425.495533;5270.139425
56;4753.805835;4739.766896;4744.182626;4349.498982;5204.608241
57;4838.175761;4726.689283;4660.504738;4351.943527;5088.165266
58;4862.835069;4697.167114;4573.978756;4368.518191;4980.813249
59;4930.971042;4706.542570;4522.635950;4421.821041;4962.850297
60;4922.700945;4639.876980;4427.024533;4589.264205;5015.270481
61;4930.761017;4585.071001;4336.318816;4561.443251;4910.992413
62;4880.459041;4577.662974;4267.931380;4500.240923;4811.403926
63;4819.296988;4510.048930;4190.219986;4450.875490;4764.741372
64;4774.449826;4516.597358;4232.748656;4400.961700;4672.094211
65;4704.528294;4475.437058;4191.472541;4322.066474;4632.656570
66;4614.537116;4400.164835;4143.535182;4242.578618;4556.094390
67;4519.837053;4500.329781;4193.698265;4228.332963;4511.084542
68;4431.282407;4511.120798;4118.818547;4207.668228;4473.377782
69;4348.124559;4634.850914;4072.699869;4176.804032;4580.937551
70;4282.815566;4627.661954;4067.702289;4128.223875;4638.383264
71;4204.925546;4585.695767;4079.301671;4059.302863;4594.407193
72;4152.344292;4507.858736;4009.287661;4076.583702;4507.539924
73;4111.103262;4411.678942;4029.236592;4060.152968;4443.532883
74;4118.423970;4321.074138;4034.253816;4128.821469;4431.033003
75;4108.651610;4264.459967;4058.391599;4084.983662;4442.359719
76;4067.322152;4224.184891;3993.304261;4069.975352;4581.821784
77;4028.874492;4140.813581;3996.404185;4043.577306;4558.705837
78;3979.196612;4079.423331;3940.741108;4110.073436;4495.727347
79;3930.944091;4009.392450;3909.278055;4161.890404;4446.761396
80;3967.777276;3937.189530;3921.874268;4226.865801;4492.751244
81;3948.869406;3865.018769;3933.553558;4266.590966;4664.914630
82;3892.346906;3792.377819;3886.303344;4247.562869;4613.911046
83;3882.609514;3722.169385;3843.030913;4161.143960;4521.368926
84;3831.473385;3655.678996;3820.977758;4111.620988;4526.581127
85;3795.291907;3587.243526;3791.797648;4124.420892;4462.691167
86;3753.458504;3525.857851;3896.950608;4072.198317;4372.449539
87;3734.119728;3469.850520;4027.490209;4039.004687;4332.533140
88;3714.177942;3421.305920;4046.621901;4053.792451;4301.545058
89;3726.442130;3379.003441;4036.631022;4138.110621;4279.913916
90;3709.160957;3368.007915;4050.297234;4139.072828;4261.307297
91;3779.779832;3338.281383;3976.577372;4132.672089;4194.712384
92;3804.871980;3307.744325;3992.933629;4083.781403;4161.097692
93;3776.381078;3282.656898;3927.413141;4021.625082;4119.738719
94;3771.554334;3285.096275;3861.966540;3960.296413;4129.906658
95;3773.048193;3258.071605;3870.072207;3934.479253;4172.419456
96;3837.993406;3233.558291;3942.268132;3880.591019;4229.670593
