Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF"
262;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
263;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
264;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
265;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
266;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
267;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
268;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
269;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
270;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
271;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
272;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
273;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
274;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
275;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
276;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
277;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
278;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
279;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
280;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
281;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
282;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
283;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
284;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
285;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
286;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
287;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
288;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
289;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
290;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
291;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
292;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
293;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
294;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
295;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
296;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
297;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
298;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
299;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
300;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
301;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
302;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
303;6.175788;84.436425;-1.236528;0.270000;10.000000;0.100000
304;6.163512;84.421939;-1.215140;0.266898;10.000000;0.100000
305;6.149871;84.380020;-1.285242;0.243353;10.000000;0.100000
306;6.149871;84.380020;-1.285242;0.243353;10.000000;0.100000
307;6.178503;84.403756;-1.203988;0.281626;10.000000;0.100000
308;6.178503;84.403756;-1.203988;0.281626;10.000000;0.100000
309;6.178503;84.403756;-1.203988;0.281626;10.000000;0.100000
310;6.170844;84.310721;-1.261917;0.269108;10.000000;0.100000
311;6.170844;84.310721;-1.261917;0.269108;10.000000;0.100000
312;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
313;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
314;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
315;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
316;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
317;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
318;6.186930;84.200893;-1.295352;0.280283;10.000000;0.100000
319;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
320;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
321;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
322;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
323;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
324;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
325;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
326;6.210337;84.183243;-1.268003;0.303256;10.000000;0.100000
327;6.213762;84.148860;-1.271673;0.306768;10.000000;0.100000
328;6.213762;84.148860;-1.271673;0.306768;10.000000;0.100000
329;6.213762;84.148860;-1.271673;0.306768;10.000000;0.100000
330;6.213762;84.148860;-1.271673;0.306768;10.000000;0.100000
331;6.213762;84.148860;-1.271673;0.306768;10.000000;0.100000
332;6.234231;84.154769;-1.300410;0.315413;10.000000;0.100000
333;6.234231;84.154769;-1.300410;0.315413;10.000000;0.100000
334;6.234231;84.154769;-1.300410;0.315413;10.000000;0.100000
335;6.234231;84.154769;-1.300410;0.315413;10.000000;0.100000
336;6.234231;84.154769;-1.300410;0.315413;10.000000;0.100000
337;6.203441;84.137766;-1.220166;0.311280;10.000000;0.100000
338;6.203441;84.137766;-1.220166;0.311280;10.000000;0.100000
339;6.201023;84.132748;-1.213333;0.310630;10.000000;0.100000
340;6.201023;84.132748;-1.213333;0.310630;10.000000;0.100000
341;6.201023;84.132748;-1.213333;0.310630;10.000000;0.100000
342;6.210990;84.126783;-1.240249;0.312201;10.000000;0.100000
343;6.210990;84.126783;-1.240249;0.312201;10.000000;0.100000
344;6.210990;84.126783;-1.240249;0.312201;10.000000;0.100000
345;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
346;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
347;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
348;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
349;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
350;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
351;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
352;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
353;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
354;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
355;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
356;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
357;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
358;6.215503;84.152985;-1.213630;0.322859;10.000000;0.100000
359;6.214120;84.153144;-1.199521;0.325357;10.000000;0.100000
