Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"3073FF";"3073FF";"3073FF";"3073FF";"3073FF";"3073FF"
175;-0.884541;-0.116947;-1.280499;2.023856;100000000.000000;0.100000
176;-0.898357;-0.116713;-1.266172;2.023856;100000000.000000;0.100000
177;-0.898357;-0.116596;-1.232350;2.023856;100000000.000000;0.100000
178;-0.898357;-0.116596;-1.232350;1.879195;100000000.000000;0.100000
179;-0.898357;-0.116577;-1.266172;2.023856;100000000.000000;0.100000
180;-0.898357;-0.116713;-1.266172;2.036778;100000000.000000;0.100000
181;-0.925906;-0.116247;-1.266172;2.023856;100000000.000000;0.100000
182;-0.898357;-0.116149;-1.205311;2.023856;100000000.000000;0.100000
183;-0.925906;-0.115639;-1.205311;2.023856;100000000.000000;0.100000
184;-0.898357;-0.115391;-1.205311;2.036778;100000000.000000;0.100000
185;-0.925906;-0.114919;-1.225895;2.036778;100000000.000000;0.100000
186;-0.898357;-0.115391;-1.205311;2.036778;100000000.000000;0.100000
187;-0.898357;-0.115391;-1.256479;2.036778;100000000.000000;0.100000
188;-0.925906;-0.114724;-1.205311;2.036778;100000000.000000;0.100000
189;-0.898357;-0.114286;-1.144608;2.036778;100000000.000000;0.100000
190;-0.925906;-0.113705;-1.205311;2.031436;100000000.000000;0.100000
191;-0.925906;-0.113705;-1.205311;2.036778;100000000.000000;0.100000
192;-0.925906;-0.113705;-1.258978;2.036778;100000000.000000;0.100000
193;-0.898357;-0.113614;-1.261899;2.031436;100000000.000000;0.100000
194;-0.898357;-0.113614;-1.261899;2.036778;100000000.000000;0.100000
195;-0.925906;-0.113614;-1.342634;2.031436;100000000.000000;0.100000
196;-0.925906;-0.113131;-1.261899;2.031436;100000000.000000;0.100000
197;-0.925906;-0.113131;-1.261899;2.031436;100000000.000000;0.100000
198;-1.017116;-0.112903;-1.258978;1.862466;100000000.000000;0.100000
199;-0.866014;-0.112903;-1.258978;1.862466;100000000.000000;0.100000
200;-0.866014;-0.112903;-1.258978;2.031436;100000000.000000;0.100000
201;-0.866014;-0.112903;-1.261899;2.031436;100000000.000000;0.100000
202;-0.866014;-0.112075;-1.245369;2.031436;100000000.000000;0.100000
203;-0.935106;-0.112075;-1.245369;2.031436;100000000.000000;0.100000
204;-0.866014;-0.111669;-1.245369;2.031436;100000000.000000;0.100000
205;-0.935106;-0.111592;-1.258978;2.031436;100000000.000000;0.100000
206;-0.935106;-0.111592;-1.274127;2.031436;100000000.000000;0.100000
207;-0.935106;-0.111248;-1.258978;2.031436;100000000.000000;0.100000
208;-0.974193;-0.110773;-1.274127;2.031436;100000000.000000;0.100000
209;-0.916249;-0.110773;-1.274127;2.031436;100000000.000000;0.100000
210;-0.935106;-0.110006;-1.274127;2.031436;100000000.000000;0.100000
211;-0.935106;-0.110773;-1.258978;2.071471;100000000.000000;0.100000
212;-0.935106;-0.110773;-1.258978;2.031436;100000000.000000;0.100000
213;-0.960715;-0.110282;-1.258978;2.031436;100000000.000000;0.100000
214;-0.956625;-0.110282;-1.258978;2.031436;100000000.000000;0.100000
215;-0.924126;-0.110092;-1.258978;2.031436;100000000.000000;0.100000
216;-0.956625;-0.110092;-1.258978;2.148736;100000000.000000;0.100000
217;-0.956625;-0.109851;-1.348131;2.031436;100000000.000000;0.100000
218;-0.956625;-0.109851;-1.348131;2.148736;100000000.000000;0.100000
219;-0.924126;-0.109479;-1.348131;2.055957;100000000.000000;0.100000
220;-0.924126;-0.109479;-1.258978;2.148736;100000000.000000;0.100000
221;-0.924126;-0.109479;-1.258978;2.148736;100000000.000000;0.100000
222;-0.924126;-0.109479;-1.258978;2.148736;100000000.000000;0.100000
223;-0.949523;-0.109453;-1.348131;2.031436;100000000.000000;0.100000
224;-0.949523;-0.109453;-1.301153;1.865556;100000000.000000;0.100000
225;-0.949523;-0.108818;-1.301153;2.055957;100000000.000000;0.100000
226;-0.949523;-0.108818;-1.301153;2.161526;100000000.000000;0.100000
227;-0.949523;-0.108388;-1.301153;1.895907;100000000.000000;0.100000
228;-0.949523;-0.108388;-1.231415;2.296414;100000000.000000;0.100000
229;-0.949523;-0.107775;-1.301153;1.917347;100000000.000000;0.100000
230;-0.949523;-0.107775;-1.301153;2.055957;100000000.000000;0.100000
231;-0.949523;-0.107775;-1.301153;2.074493;100000000.000000;0.100000
232;-0.949523;-0.107775;-1.306847;2.079787;100000000.000000;0.100000
233;-0.949523;-0.107737;-1.306847;2.055957;100000000.000000;0.100000
234;-0.949523;-0.107322;-1.301153;2.079787;100000000.000000;0.100000
235;-0.964588;-0.107322;-1.301153;2.079787;100000000.000000;0.100000
236;-0.949523;-0.107322;-1.301153;2.079787;100000000.000000;0.100000
237;-0.900701;-0.107322;-1.301153;2.132546;100000000.000000;0.100000
238;-0.964588;-0.106769;-1.301153;1.821645;100000000.000000;0.100000
239;-0.964588;-0.106769;-1.301153;2.079787;100000000.000000;0.100000
240;-0.964588;-0.106521;-1.301153;1.732688;100000000.000000;0.100000
241;-0.964588;-0.106522;-1.301153;1.821645;100000000.000000;0.100000
242;-0.975646;-0.106522;-1.324430;1.939154;100000000.000000;0.100000
243;-0.964588;-0.106522;-1.324430;1.939154;100000000.000000;0.100000
244;-0.964588;-0.106522;-1.324430;1.939154;100000000.000000;0.100000
245;-0.964588;-0.106522;-1.324430;1.939154;100000000.000000;0.100000
246;-0.964588;-0.106490;-1.324430;1.939154;100000000.000000;0.100000
247;-0.964588;-0.106490;-1.324430;1.939154;100000000.000000;0.100000
248;-0.964588;-0.106373;-1.324430;1.939154;100000000.000000;0.100000
249;-0.964588;-0.106373;-1.324430;1.939154;100000000.000000;0.100000
250;-0.964588;-0.106373;-1.375805;1.939154;100000000.000000;0.100000
251;-0.964588;-0.106373;-1.375805;1.939154;100000000.000000;0.100000
252;-0.964588;-0.106373;-1.375805;1.939154;100000000.000000;0.100000
253;-0.964588;-0.106145;-1.324430;1.939154;100000000.000000;0.100000
254;-1.018234;-0.105911;-1.324430;1.939154;100000000.000000;0.100000
255;-1.018234;-0.105911;-1.324430;2.065462;100000000.000000;0.100000
256;-0.964588;-0.105717;-1.271166;1.939154;100000000.000000;0.100000
257;-0.964588;-0.105717;-1.271166;1.939154;100000000.000000;0.100000
258;-0.964588;-0.105717;-1.271166;2.065462;100000000.000000;0.100000
259;-0.964588;-0.105717;-1.271166;2.065462;100000000.000000;0.100000
260;-0.964588;-0.105717;-1.324430;2.065462;100000000.000000;0.100000
261;-0.964588;-0.105530;-1.271166;2.065462;100000000.000000;0.100000
262;-0.964588;-0.105530;-1.271166;1.863288;100000000.000000;0.100000
263;-0.964588;-0.105530;-1.271166;2.065462;100000000.000000;0.100000
264;-0.964588;-0.105206;-1.393119;1.863288;100000000.000000;0.100000
265;-0.964588;-0.105093;-1.393119;1.882477;100000000.000000;0.100000
266;-0.964588;-0.104834;-1.393119;1.863288;100000000.000000;0.100000
267;-0.964588;-0.104834;-1.393119;1.863288;100000000.000000;0.100000
268;-0.964588;-0.104834;-1.429945;1.863288;100000000.000000;0.100000
269;-0.964588;-0.104834;-1.429945;1.863288;100000000.000000;0.100000
270;-0.964588;-0.104834;-1.429945;1.863288;100000000.000000;0.100000
271;-0.964588;-0.104834;-1.393119;1.977684;100000000.000000;0.100000
272;-0.964588;-0.104632;-1.444904;1.863288;100000000.000000;0.100000
273;-0.964588;-0.104834;-1.483109;1.977684;100000000.000000;0.100000
274;-0.941717;-0.104834;-1.483109;1.977684;100000000.000000;0.100000
275;-0.964588;-0.104521;-1.475273;1.990187;100000000.000000;0.100000
276;-0.964588;-0.104521;-1.475273;1.990187;100000000.000000;0.100000
277;-0.941717;-0.104521;-1.475273;1.990187;100000000.000000;0.100000
278;-0.907884;-0.104521;-1.483109;1.990187;100000000.000000;0.100000
279;-0.907884;-0.104521;-1.483109;1.977684;100000000.000000;0.100000
280;-0.907884;-0.104521;-1.483109;1.977684;100000000.000000;0.100000
281;-0.907884;-0.104363;-1.483109;1.977684;100000000.000000;0.100000
282;-0.964588;-0.104478;-1.422165;1.871410;100000000.000000;0.100000
283;-0.964588;-0.104268;-1.409922;1.926032;100000000.000000;0.100000
284;-0.964588;-0.104268;-1.409922;1.926032;100000000.000000;0.100000
285;-0.964588;-0.104253;-1.422165;1.871410;100000000.000000;0.100000
286;-0.964588;-0.104253;-1.422165;1.871410;100000000.000000;0.100000
287;-0.964588;-0.104003;-1.422165;1.926032;100000000.000000;0.100000
288;-0.964588;-0.103867;-1.422165;2.007354;100000000.000000;0.100000
289;-0.964588;-0.103865;-1.422165;1.871410;100000000.000000;0.100000
290;-0.921718;-0.103867;-1.422165;1.926032;100000000.000000;0.100000
291;-0.964588;-0.103867;-1.422165;1.926032;100000000.000000;0.100000
292;-0.964588;-0.103867;-1.422165;1.926032;100000000.000000;0.100000
293;-0.964588;-0.103867;-1.507153;1.978581;100000000.000000;0.100000
294;-0.964588;-0.103867;-1.422165;2.049122;100000000.000000;0.100000
295;-0.964588;-0.103867;-1.507153;1.978581;100000000.000000;0.100000
296;-0.964588;-0.103643;-1.507153;1.871410;100000000.000000;0.100000
297;-0.964588;-0.103643;-1.507153;1.978581;100000000.000000;0.100000
298;-0.964588;-0.103643;-1.507153;1.971664;100000000.000000;0.100000
299;-0.964588;-0.103524;-1.507153;1.871410;100000000.000000;0.100000
300;-0.964588;-0.103390;-1.490279;1.871410;100000000.000000;0.100000
301;-0.951618;-0.103390;-1.507153;1.871410;100000000.000000;0.100000
302;-0.964588;-0.103323;-1.507153;1.871410;100000000.000000;0.100000
303;-0.964588;-0.103323;-1.507153;1.871410;100000000.000000;0.100000
304;-0.964588;-0.103263;-1.408080;1.871410;100000000.000000;0.100000
305;-0.932293;-0.103323;-1.507153;1.957317;100000000.000000;0.100000
306;-0.951618;-0.103252;-1.507153;1.937117;100000000.000000;0.100000
307;-0.964588;-0.103323;-1.507153;1.957317;100000000.000000;0.100000
308;-0.964588;-0.103323;-1.507153;1.957317;100000000.000000;0.100000
309;-0.964588;-0.103133;-1.444323;1.871410;100000000.000000;0.100000
310;-0.964588;-0.103200;-1.586626;1.805815;100000000.000000;0.100000
311;-0.964588;-0.103169;-1.410603;1.932919;100000000.000000;0.100000
312;-0.964588;-0.103169;-1.540141;1.913179;100000000.000000;0.100000
313;-0.964588;-0.103169;-1.540141;1.932919;100000000.000000;0.100000
314;-0.964588;-0.102975;-1.410603;1.913179;100000000.000000;0.100000
315;-0.964588;-0.103169;-1.586626;1.913179;100000000.000000;0.100000
316;-0.964588;-0.103078;-1.410603;1.913179;100000000.000000;0.100000
317;-0.927275;-0.103078;-1.410603;1.913179;100000000.000000;0.100000
318;-0.964588;-0.103078;-1.410603;2.017326;100000000.000000;0.100000
319;-0.964588;-0.103078;-1.410603;2.017326;100000000.000000;0.100000
320;-0.964588;-0.103078;-1.431471;2.017430;100000000.000000;0.100000
321;-0.964588;-0.103078;-1.410603;2.017326;100000000.000000;0.100000
322;-0.964588;-0.103078;-1.410603;2.017326;100000000.000000;0.100000
323;-0.964588;-0.103078;-1.410603;2.052645;100000000.000000;0.100000
324;-0.964588;-0.103078;-1.410603;2.017326;100000000.000000;0.100000
325;-0.964588;-0.103078;-1.496601;2.017326;100000000.000000;0.100000
