Zeit [s];r [rad];u2
10.21;12.566371;0
10.23;12.566371;0
10.25;12.566371;0
10.27;12.566371;0
10.29;12.566371;0
10.31;12.566371;0
10.33;12.566371;0
10.35;12.566371;0
10.37;12.566371;0
10.39;12.566371;0
10.41;12.566371;0
10.43;12.566371;0
10.45;12.566371;0
10.47;12.566371;0
10.49;12.566371;0
10.51;12.566371;0
10.53;12.566371;0
10.55;12.566371;0
10.57;12.566371;0
10.59;12.566371;0
10.61;12.566371;0
10.63;12.566371;0
10.65;12.566371;0
10.67;12.566371;0
10.69;12.566371;0
10.71;12.566371;0
10.73;12.566371;0
10.75;12.566371;0
10.77;12.566371;0
10.79;12.566371;0
10.81;12.566371;0
10.83;12.566371;0
10.85;12.566371;0
10.87;12.566371;0
10.89;12.566371;0
10.91;12.566371;0
10.93;12.566371;0
10.95;12.566371;0
10.97;12.566371;0
10.99;12.566371;0
11.01;12.566371;0
11.03;12.566371;0
11.05;12.566371;0
11.07;12.566371;0
11.09;12.566371;0
11.11;12.566371;0
11.13;12.566371;0
11.15;12.566371;0
11.17;12.566371;0
11.19;12.566371;0
11.21;12.566371;0
11.23;12.566371;0
11.25;12.566371;0
11.27;12.566371;0
11.29;12.566371;0
11.31;12.566371;0
11.33;12.566371;0
11.35;12.566371;0
11.37;12.566371;0
11.39;12.566371;0
11.41;12.566371;0
11.43;12.566371;0
11.45;12.566371;0
11.47;12.566371;0
11.49;12.566371;0
11.51;12.566371;0
11.53;12.566371;0
11.55;12.566371;0
11.57;12.566371;0
11.59;12.566371;0
11.61;12.566371;0
11.63;12.566371;0
11.65;12.566371;0
11.67;12.566371;0
11.69;12.566371;0
11.71;12.566371;0
11.73;12.566371;0
11.75;12.566371;0
11.77;12.566371;0
11.79;12.566371;0
11.81;12.566371;0
11.83;12.566371;0
11.85;12.566371;0
11.87;12.566371;0
11.89;12.566371;0
11.91;12.566371;0
11.93;12.566371;0
11.95;12.566371;0
11.97;12.566371;0
11.99;12.566371;0
12.01;12.566371;0
12.03;12.566371;0
12.05;12.566371;0
12.07;12.566371;0
12.09;12.566371;0
12.11;12.566371;0
12.13;12.566371;0
12.15;12.566371;0
12.17;12.566371;0
12.19;12.566371;0
12.21;12.566371;0
12.23;12.566371;0
12.25;12.566371;0
12.27;12.566371;0
12.29;12.566371;0
12.31;12.566371;0
12.33;12.566371;0
12.35;12.566371;0
12.37;12.566371;0
12.39;12.566371;0
12.41;12.566371;0
12.43;12.566371;0
12.45;12.566371;0
12.47;12.566371;0
12.49;12.566371;0
12.51;12.566371;0
12.53;12.566371;0
12.55;12.566371;0
12.57;12.566371;0
12.59;12.566371;0
12.61;12.566371;0
12.63;12.566371;0
12.65;12.566371;0
12.67;12.566371;0
12.69;12.566371;0
12.71;12.566371;0
12.73;12.566371;0
12.75;12.566371;0
12.77;12.566371;0
12.79;12.566371;0
12.81;12.566371;0
12.83;12.566371;0
12.85;12.566371;0
12.87;12.566371;0
12.89;12.566371;0
12.91;12.566371;0
12.93;12.566371;0
12.95;12.566371;0
12.97;12.566371;0
12.99;12.566371;0
13.01;12.566371;0
13.03;12.566371;0
13.05;12.566371;0
13.07;12.566371;0
13.09;12.566371;0
13.11;12.566371;0
13.13;12.566371;0
13.15;12.566371;0
13.17;12.566371;0
13.19;12.566371;0
13.21;12.566371;0
13.23;12.566371;0
13.25;12.566371;0
13.27;12.566371;0
13.29;12.566371;0
13.31;12.566371;0
13.33;12.566371;0
13.35;12.566371;0
13.37;12.566371;0
13.39;12.566371;0
13.41;12.566371;0
13.43;12.566371;0
13.45;12.566371;0
13.47;12.566371;0
13.49;12.566371;0
13.51;12.566371;0
13.53;12.566371;0
13.55;12.566371;0
13.57;12.566371;0
13.59;12.566371;0
13.61;12.566371;0
13.63;12.566371;0
13.65;12.566371;0
13.67;12.566371;0
13.69;12.566371;0
13.71;12.566371;0
13.73;12.566371;0
13.75;12.566371;0
13.77;12.566371;0
13.79;12.566371;0
13.81;12.566371;0
13.83;12.566371;0
13.85;12.566371;0
13.87;12.566371;0
13.89;12.566371;0
13.91;12.566371;0
13.93;12.566371;0
13.95;12.566371;0
13.97;12.566371;0
13.99;12.566371;0
14.01;12.566371;10
14.03;12.566371;10
14.05;12.566371;10
14.07;12.566371;10
14.09;12.566371;10
14.11;12.566371;10
14.13;12.566371;10
14.15;12.566371;10
14.17;12.566371;10
14.19;12.566371;10
14.21;12.566371;10
14.23;12.566371;10
14.25;12.566371;10
14.27;12.566371;10
14.29;12.566371;10
14.31;12.566371;10
14.33;12.566371;10
14.35;12.566371;10
14.37;12.566371;10
14.39;12.566371;10
14.41;12.566371;10
14.43;12.566371;10
14.45;12.566371;10
14.47;12.566371;10
14.49;12.566371;10
14.51;12.566371;10
14.53;12.566371;10
14.55;12.566371;10
14.57;12.566371;10
14.59;12.566371;10
14.61;12.566371;10
14.63;12.566371;10
14.65;12.566371;10
14.67;12.566371;10
14.69;12.566371;10
14.71;12.566371;10
14.73;12.566371;10
14.75;12.566371;10
14.77;12.566371;10
14.79;12.566371;10
14.81;12.566371;10
14.83;12.566371;10
14.85;12.566371;10
14.87;12.566371;10
14.89;12.566371;10
14.91;12.566371;10
14.93;12.566371;10
14.95;12.566371;10
14.97;12.566371;10
14.99;12.566371;10
15.01;12.566371;10
15.03;12.566371;10
15.05;12.566371;10
15.07;12.566371;10
15.09;12.566371;10
15.11;12.566371;10
15.13;12.566371;10
15.15;12.566371;10
15.17;12.566371;10
15.19;12.566371;10
