time;u;z;y1;y2
5.34;-2000;0;10.65942387;-10.6908398
5.36;-2000;0;10.46150354;-10.50548583
5.38;-2000;0;10.33898142;-10.39867168
5.4;-2000;0;10.23216727;-10.3075655
5.42;-2000;0;10.0907956;-10.19760975
5.44;-2000;0;9.842609784;-9.993406231
5.46;-2000;0;9.698096522;-9.867742525
5.48;-2000;0;9.569291223;-9.751503597
5.5;0;0;9.421636368;-9.610131927
5.52;0;0;9.157742585;-9.333671774
5.54;0;0;9.028937286;-9.167167363
5.56;0;0;8.925264729;-9.025795694
5.58;0;0;8.705353243;-8.853008098
5.6;0;0;8.592255908;-8.529424054
5.62;0;0;8.479158572;-8.375486014
5.64;0;0;8.369202829;-8.243539123
5.66;0;0;8.12101701;-7.96707897
5.68;0;0;7.992211711;-7.835132078
5.7;0;0;7.863406412;-7.728317928
5.72;0;0;7.712609965;-7.608937407
5.74;0;0;7.429866626;-7.404733885
5.76;0;0;7.291636549;-7.297919734
5.78;0;0;7.16283125;-7.206813547
5.8;0;0;7.024601173;-7.087433026
5.82;0;0;6.785840132;-6.880087911
5.84;0;0;6.666459611;-6.757565798
5.86;0;0;6.572211831;-6.650751648
5.88;0;0;6.462256088;-6.521946349
5.9;0;0;6.276902122;-6.276902122
5.92;0;0;6.176371157;-6.14495523
5.94;0;0;6.088406563;-6.031857895
5.96;0;0;5.987875598;-5.906194189
5.98;0;0;5.789955261;-5.686282703
6;0;0;5.676857925;-5.585751738
6.02;0;0;5.573185367;-5.494645551
6.04;0;0;5.453804847;-5.397256179
6.06;0;0;5.233893361;-5.230751768
6.08;0;0;5.120796025;-5.136503989
6.1;0;0;5.017123468;-5.05482258
6.12;0;0;4.812919945;-4.888318169
6.14;0;0;4.709247388;-4.781504019
6.16;0;0;4.618141201;-4.684114647
6.18;0;0;4.536459792;-4.589866867
6.2;0;0;4.369955381;-4.388804937
6.22;0;0;4.291415565;-4.278849194
6.24;0;0;4.219158934;-4.181459822
6.26;0;0;4.134335932;-4.074645672
6.28;0;0;3.970973114;-3.892433298
6.3;0;0;3.88300852;-3.798185518
6.32;0;0;3.78876074;-3.716504109
6.34;0;0;3.700796146;-3.644247478
6.36;0;0;3.609689959;-3.568849254
