time;u;y;z1;z2
3.04;10;10.4231958185771;0;0
3.05;10;10.427062610987;0;0
3.06;10;10.450263370675;0;0
3.07;10;10.4141733039215;0;0
3.08;10;10.3993506042113;0;0
3.09;10;10.4760420030765;0;0
3.1;10;10.3893613955958;0;0
3.11;10;10.3964505112167;0;0
3.12;10;10.4731419063776;0;0
3.13;10;10.3877502330711;0;0
3.14;10;10.4225513531996;0;0
3.15;10;10.4470410424043;0;0
3.16;10;10.4128843733669;0;0
3.17;10;10.4341517310515;0;0
3.18;10;10.3832389782309;0;0
3.19;10;10.4631526854896;0;0
3.2;10;10.4051507906195;0;0
3.21;10;10.4199734917589;0;0
3.22;10;10.4837755949605;0;0
3.23;10;10.397417208866;0;0
3.24;10;10.4028951625054;0;0
3.25;10;10.4689528780605;0;0
3.26;10;10.3896836281059;0;0
3.27;10;10.4312516363786;0;0
3.28;10;10.4367295931007;0;0
3.29;10;10.4299627054577;0;0
3.3;10;10.4296404727318;0;0
3.31;10;10.3958060461258;0;0
3.32;10;10.4708862757089;0;0
3.33;10;10.4048285580266;0;0
3.34;10;10.3890391630874;0;0
3.35;10;10.4805532648874;0;0
3.36;10;10.392261488249;0;0
3.37;10;10.41868456108;0;0
3.38;10;10.4637971513031;0;0
3.39;10;10.4083731166434;0;0
3.4;10;10.4344739638016;0;0
3.41;10;10.4251292147509;0;0
3.42;10;10.4534856991189;0;0
3.43;10;10.4209401897862;0;0
3.44;10;10.3919392557251;0;0
3.45;10;10.4834533619454;0;0
3.46;10;10.397417208866;0;0
3.47;10;10.4022506973455;0;0
3.48;10;10.4824866629104;0;0
3.49;10;10.3925837207746;0;0
3.5;10;10.4393074552605;0;0
3.51;10;10.4480077408673;0;0
3.52;10;10.425773680156;0;0
3.53;10;10.4347961965535;0;0
3.54;10;10.3980616739742;0;0
3.55;10;10.4689528780605;0;0
3.56;10;10.4128843733669;0;0
3.57;10;10.3967727437648;0;0
3.58;10;10.483131128932;0;0
3.59;10;10.392261488249;0;0
3.6;10;10.4109509775868;0;0
3.61;10;10.4676639463295;0;0
3.62;10;10.4045063254354;0;0
3.63;10;10.4344739638016;0;0
3.64;10;10.4383407569376;0;0
3.65;10;10.4444631799123;0;0
3.66;10;10.4312516363786;0;0
3.67;10;10.3893613955958;0;0
3.68;10;10.4818421968958;0;0
3.69;10;10.4016062321925;0;0
3.7;10;10.3990283716494;0;0
