Zeit [s];r [v];l [v];u [v];y [v]
3.95;8;0;7.942943407;7.989096501
3.96;8;0;7.574156453;8.042262949
3.97;8;0;7.205095392;8.087373905
3.98;8;0;7.430545179;8.04258517
3.99;8;0;7.66559377;8.003274217
4;8;0;7.576662121;8.015196389
4.01;8;0;7.513956023;8.021640807
4.02;8;0;7.8410469;7.972663243
4.03;8;0;7.880072366;7.971374361
4.04;8;0;7.975873115;7.962352182
4.05;8;0;7.77927789;7.995540917
4.06;8;0;7.984856037;7.967507712
4.07;8;0;7.888767909;7.985874294
4.08;8;0;8.063354851;7.963641064
4.09;8;0;7.863047639;7.997152021
4.1;8;0;8.034570284;7.973629906
4.11;8;0;7.710327223;8.022929691
4.12;8;0;7.81914575;8.004240879
4.13;8;0;7.440772653;8.056440675
4.14;8;0;7.753002856;8.004240879
4.15;8;0;7.506134608;8.038074076
4.16;8;0;7.672273034;8.009074192
4.17;8;0;7.530877367;8.027440784
4.18;8;0;7.987765206;7.959452196
4.19;8;0;7.533628509;8.029051889
4.2;8;0;8.267919267;7.92207461
4.21;8;0;7.457702895;8.047096265
4.22;8;0;8.458405699;7.900163621
4.23;8;0;7.450590743;8.056118454
4.24;8;0;8.300726478;7.928841241
4.25;8;0;7.453142058;8.058051781
4.26;8;0;8.086610247;7.960741078
4.27;8;0;7.402665502;8.062240655
4.28;8;0;7.768558391;8.001663113
4.29;8;0;7.432215819;8.048385149
4.3;8;0;7.485602719;8.033562982
4.31;8;0;7.785855879;7.986518735
4.32;8;0;7.514469893;8.026474121
4.33;8;0;8.053159875;7.947207812
4.34;8;0;7.644669062;8.012296401
4.35;8;0;8.071922188;7.950752239
4.36;8;0;7.770308794;8.000374229
4.37;8;0;8.028296147;7.964285506
4.38;8;0;8.242564516;7.939796739
4.39;8;0;7.865222833;8.001663113
4.4;8;0;7.955694079;7.98877428
4.41;8;0;7.589565449;8.041618507
4.42;8;0;7.784139876;8.00810753
4.43;8;0;7.470765197;8.050640696
4.44;8;0;7.736254019;8.005851984
4.45;8;0;7.519929095;8.035174087
4.46;8;0;7.744598929;7.998440904
4.47;8;0;7.471753243;8.036785192
4.48;8;0;7.899998938;7.971374361
4.49;8;0;7.575907331;8.020996365
4.5;0;0;0;7.93431899
4.51;0;0;0;7.548299794
4.52;0;0;0;7.201270863
4.53;0;0;0;6.702802093
