Zeit [s];r [v];l [v];ySystune [v];yGenetic [v];yDifferentialEvol [v]
;-;-;-;-;-
0;4;3;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
1.6;5;0;4.437656788;4.447000806;4.343894451
1.61;5;0;4.718944304;4.755676064;4.554618171
1.62;5;0;4.857816204;4.824306494;4.671579686
1.63;5;0;4.598760656;4.909691835;4.704122721
1.64;5;0;4.62421509;4.885526165;4.776297409
1.65;5;0;4.891970343;4.852983072;4.761153609
1.66;5;0;4.640325494;4.907114163;4.802396305
1.67;5;0;4.86168271;4.871348975;4.856849578
1.68;5;0;4.896803477;4.843316809;4.835906007
1.69;5;0;4.587161169;4.926768912;4.885848374
1.7;5;0;4.948034711;4.91452497;4.927735539
1.71;5;0;4.869415722;4.912591716;4.886815001
1.72;5;0;4.585227921;4.991532948;4.940623902
1.73;5;0;4.711855721;4.949967965;4.965434003
1.74;5;0;4.807873851;4.938368438;4.924835658
1.75;5;0;4.931602048;5.012154342;4.983155508
1.76;5;0;4.882948494;4.967045049;4.987022019
1.77;5;0;4.913558343;4.964789585;4.947712501
1.78;5;0;4.931279839;5.028264809;5.011832133
1.79;5;0;4.877148734;4.97058935;4.994755041
1.8;5;0;4.874893272;4.96672284;4.954801102
1.81;5;0;4.893903597;5.030198065;5.011832133
1.82;5;0;4.908402999;4.983155508;4.996688296
1.83;5;0;4.885848374;4.981222253;4.961567494
1.84;5;0;4.929024376;5.034386787;5.020209575
1.85;5;0;4.938690647;4.976389115;5.000554808
1.86;5;0;4.893259179;4.974133651;4.964789585
1.87;5;0;4.968011677;5.033420159;5.020853994
1.88;5;0;4.948034711;4.980255626;5.002810272
1.89;5;0;4.949323547;4.979611207;4.968656095
1.9;5;0;4.964467376;5.039542137;5.026331553
1.91;5;0;4.949001338;4.980577835;5.003132482
1.92;5;0;4.957056566;4.97832237;4.964789585
1.93;5;0;4.989277484;5.036642252;5.027942599
1.94;5;0;4.938046229;4.980900044;5.006032365
1.95;5;0;4.978000161;4.984766555;4.967045049
1.96;5;0;4.993143995;5.040508765;5.024398296
1.97;5;0;4.942879365;4.976711324;5.005065737
1.98;5;0;4.976711324;4.975744697;4.969622722
1.99;5;0;5.005710156;5.036320043;5.026009343
2;5;0;4.940301692;4.980255626;5.002810272
2.01;5;0;5.001843645;4.983477718;4.967689467
2.02;5;0;4.994755041;5.041475393;5.044053069
2.03;5;0;4.968978304;4.977355743;4.998621552
2.04;5;0;4.987666438;4.974778069;4.968656095
2.05;5;0;5.007643412;5.035997834;5.028587018
2.06;5;0;4.945779247;4.984122136;5.004743528
2.07;5;0;4.981866672;4.981866672;4.961245284
2.08;5;0;5.021820622;5.040830975;5.016987482
2.09;5;0;4.956734357;4.979288998;5.002810272
2.1;5;0;5.006998993;4.97832237;4.96285633
2.11;5;0;4.986377601;5.038897718;5.020531784
2.12;5;0;4.993143995;4.980900044;5.00409911
2.13;5;0;4.97832237;4.976066906;4.968978304
2.14;5;0;5.010865505;5.045341906;5.026009343
2.15;5;0;4.958345402;4.98251109;5.00861004
2.16;5;0;4.981544462;4.975744697;4.969944932
2.17;5;0;5.024076087;5.040186556;5.030520274
2.18;5;0;4.967367258;4.983477718;5.006676784
2.19;5;0;5.022142831;4.984444345;4.968333886
2.2;5;0;5.002810272;5.052430514;5.028587018
2.21;5;0;4.987022019;4.977677952;5.007321202
2.22;5;0;4.980255626;4.989277484;4.968011677
2.23;5;0;5.014732016;5.027298181;5.029875855
2.24;5;0;4.965434003;4.964467376;5.004421319
2.25;5;0;5.001199226;4.973167023;4.963178539
2.26;5;0;5.027298181;5.039864346;5.024398296
2.27;5;0;4.965111794;4.984444345;5.005065737
2.28;5;0;5.025687134;4.97864458;4.968333886
2.29;5;0;5.000554808;5.036642252;5.029553646
2.3;5;0;4.97832237;4.984122136;5.005065737
2.31;5;0;5.029875855;4.983155508;4.967689467
2.32;5;0;4.981222253;5.041475393;5.02762039
2.33;5;0;5.005065737;4.983799927;5.004743528
2.34;5;0;4.980255626;4.97445586;4.966400631
2.35;5;0;5.007643412;5.035997834;5.025042715
2.36;5;0;4.973811442;4.983477718;5.004743528
2.37;5;0;4.99088853;4.976711324;4.967367258
2.38;5;0;5.026009343;5.041475393;5.02246504
2.39;5;0;4.969622722;4.982833299;5.006998993
2.4;5;0;5.030198065;4.977677952;4.96672284
2.41;5;0;4.989599693;5.040508765;5.026653762
2.42;5;0;4.99958818;4.983799927;5.006032365
2.43;5;0;4.973167023;4.983477718;4.967045049
2.44;5;0;5.021176203;5.043730859;5.026331553
2.45;5;0;4.966400631;4.982188881;5.006032365
2.46;5;0;5.002488063;4.973167023;4.966400631
2.47;5;0;5.03277574;5.036964462;5.025364924
2.48;5;0;4.961889703;4.982188881;5.003454691
2.49;5;0;5.034708996;4.983477718;4.96672284
2.5;0;0;5.010543295;5.044053069;5.023431668
2.51;0;0;4.944168201;4.968333886;4.981544462
2.52;0;0;4.526263884;4.611648976;4.572661812
2.53;0;0;4.048753058;4.146381618;4.125760397
2.54;0;0;3.831586205;3.893771923;3.906337953
2.55;0;0;3.609264484;3.587354541;3.623763714
2.56;0;0;3.303492251;3.312191767;3.32443553
2.57;0;0;3.051528772;3.058939455;3.078593878
