Zeit [s];r [v];l [v];u [v];y [v]
;-;-;-;-
0;4;2;1;1
0;ebbd34;e0162e;8888FF;0000AA
14.23;5;2;6.46402005371884;4.95282954799791
14.24;5;2;6.47882921480198;4.95332899180445
14.25;5;2;6.47197773295212;4.95885215993934
14.26;5;2;6.48300888592456;4.95962527553196
14.27;5;2;6.47090175501853;4.96569283451886
14.28;5;2;6.47867515952429;4.966511804654
14.29;5;2;6.47376653371218;4.97043242704668
14.3;5;2;6.46974177601867;4.9735444916362
14.31;5;2;6.47205106073935;4.97510191885423
14.32;5;2;6.47749245659418;4.9759913613542
14.33;5;2;6.47592764794577;4.97835801050006
14.34;5;2;6.47960673133817;4.97926570256782
14.35;5;2;6.46862799047337;4.98335315712886
14.36;5;2;6.4770884834382;4.98264790392369
14.37;5;2;6.48174881069993;4.98324117403521
14.38;5;2;6.47748178894369;4.98557359363372
14.39;5;2;6.47626588292871;4.98689511383478
14.4;5;2;6.47526591255577;4.9881439401678
14.41;5;2;6.4785806377191;4.98836797322021
14.42;5;2;6.47728247849554;4.98964826721591
14.43;5;2;6.47628958483873;4.99065712247558
14.44;5;2;6.48332960558511;4.98988587383715
14.45;5;2;6.48141818079476;4.99125189758666
14.46;5;2;6.47238286105884;4.9938296098345
14.47;5;2;6.47909836250373;4.99270956176861
14.48;5;2;6.47621079089914;4.99406665412293
14.49;5;2;6.48939836193112;4.99165186226949
14.5;5;0;6.22835705947589;5.0483462576367
14.51;5;0;5.8149237046654;5.1273574832629
14.52;5;0;5.51326157373286;5.17357248585386
14.53;5;0;5.319299011604;5.1956317513233
14.54;5;0;5.21395105372957;5.19896906565269
14.55;5;0;5.1467094886639;5.19553522382433
14.56;5;0;5.11076843176293;5.1863194365392
14.57;5;0;5.08182239098305;5.17693297063756
14.58;5;0;5.07159006975268;5.16439072526286
14.59;5;0;5.06201554996918;5.15309080402594
14.6;5;0;5.06969948045267;5.13898886170133
14.61;5;0;5.06774357285511;5.12843412847625
14.62;5;0;5.05451031307557;5.12090137297201
14.63;5;0;5.0655167984261;5.10858663113027
14.64;5;0;5.06107241293465;5.10107845520368
14.65;5;0;5.06408690099317;5.09221149735371
14.66;5;0;5.05566249316464;5.08668760137687
14.67;5;0;5.0616254395679;5.07828059432071
14.68;5;0;5.06100698844184;5.07227402880365
14.69;5;0;5.06526867952879;5.06554067310137
14.7;5;0;5.0655473607785;5.06031448343825
14.71;5;0;5.07012816914114;5.05449551941925
14.72;5;0;5.069875495922;5.05027304647056
14.73;5;0;5.06660311300813;5.04692521048141
14.74;5;0;5.06641496557973;5.04313558589318
14.75;5;0;5.1059991954319;5.03122489071484
14.76;5;0;5.06849050582185;5.03754514308286
14.77;5;0;5.05886157423572;5.03573925621442
14.78;5;0;5.06747856447934;5.03091625022937
14.79;5;0;5.06704532457324;5.02871761363167
14.8;5;0;5.07032633904587;5.02568643664234
14.81;5;0;5.08561029608467;5.02043238198766
14.82;5;0;5.07979775001892;5.020342695568
14.83;5;0;5.07032550853312;5.02058451396029
14.84;5;0;5.06906070261571;5.01902295042272
14.85;5;0;5.07624899622295;5.01595343301071
14.86;5;0;5.07940021098404;5.01414969153142
14.87;5;0;5.07306111758473;5.01441902061781
14.88;5;0;5.07018614747631;5.01374107322189
14.89;5;0;5.07610109003015;5.01132962807331
14.9;5;0;5.08838909582796;5.00792296981388
14.91;5;0;5.07469517526861;5.01045265797662
14.92;5;0;5.07692408720343;5.00883314344399
14.93;5;0;5.06532344730264;5.01067729894034
14.94;5;0;5.08086837173396;5.00625514155641
14.95;5;0;5.08012012438858;5.0062569576147
14.96;5;0;5.07976624147932;5.00578212562062
14.97;5;0;5.07756136737085;5.00578659950527
14.98;5;0;5.07185857768654;5.00649517032505
14.99;5;0;5.0792728347793;5.00427781318711
15;7;2;10;4.95282563646432
15.01;7;2;10;5.21515738367359
15.02;7;2;10;5.45193639164771
15.03;7;2;10;5.67021632540495
15.04;7;2;10;5.86535541507591
15.05;7;2;10;6.0456500299217
15.06;7;2;10;6.21059855300719
15.07;7;2;10;6.36019728100017
15.08;7;2;10;6.49555945228999
15.09;7;2;9.78504144832166;6.62014514014565
15.1;7;2;9.41702216999507;6.72109465755023
15.11;7;2;9.20879112035558;6.78113912365484
15.12;7;2;9.08641480504816;6.82119570693942
15.13;7;2;9.01367660945959;6.84890161670164
15.14;7;2;8.96021741670267;6.87114907674734
15.15;7;2;8.92953082541905;6.88706091219061
15.16;7;2;8.92726191229135;6.89606654065406
15.17;7;2;8.87144647528874;6.91632758957625
15.18;7;2;8.90113021675316;6.91555024989579
15.19;7;2;8.91272857674482;6.92056891576874
15.2;7;2;8.901529799554;6.92950070214324
15.21;7;2;8.90537337472012;6.93408770545561
15.22;7;2;8.90476155519828;6.93960803414984
15.23;7;2;8.91089030570096;6.94312067335586
15.24;7;2;8.90554990999033;6.94895169736305
15.25;7;2;8.8989508600831;6.95433315444641
15.26;7;2;8.89661387933309;6.95837104577218
15.27;7;2;8.90392126397082;6.96011339115045
15.28;7;2;8.89692107888102;6.96496148057564
15.29;7;2;8.90501581867229;6.96588427421036
15.3;7;2;8.90397403657997;6.96902510058061
15.31;7;2;8.9141427257638;6.9692990189094
15.32;7;2;8.91046974531372;6.97275898432107
15.33;7;2;8.90068060491439;6.97693829583015
15.34;7;2;8.90140798984999;6.9784404554716
15.35;7;2;8.90239661812043;6.97999210548007
15.36;7;2;8.90716076121093;6.98059664118885
15.37;7;2;8.91232854481648;6.98114579472512
15.38;7;2;8.90329133951601;6.98468508269544
15.39;7;2;8.90651591288324;6.98502944998525
15.4;7;2;8.90516906737645;6.98660306450951
15.41;7;2;8.90129126330637;6.98846979074714
15.42;7;2;8.90902005998754;6.9876677415121
15.43;7;2;8.90617793279351;6.98943031553002
15.44;7;2;8.91264708765948;6.9888220319917
15.45;7;2;8.91104882495245;6.99020028447549
15.46;7;2;8.89675315855043;6.99399275482179
15.47;7;2;8.92037744517251;6.98913972735244
15.48;7;2;8.91189904865248;6.99233569255438
15.49;7;2;8.90511011552918;6.99417611261681
15.5;7;0;8.56133240516255;7.06793981766966
15.51;7;0;7.96853500340555;7.18201815675447
15.52;7;0;7.56212955025256;7.24268510581571
15.53;7;0;7.28121555420273;7.27595382064466
15.54;7;0;7.14356025853591;7.27813291664123
15.55;7;0;7.04011390657015;7.27557165566336
15.56;7;0;6.99220521687401;7.26179572885747
15.57;7;0;6.95292541533284;7.24838294450465
15.58;7;0;6.94957702839439;7.2284442368805
15.59;7;0;6.9319565823025;7.21388545006123
15.6;7;0;6.92930071060314;7.19693421641712
15.61;7;0;6.91660506271333;7.18382985295231
15.62;7;0;6.92286229729294;7.16748935877565
15.63;7;0;6.91926991452003;7.15497622557334
15.64;7;0;6.92426305807009;7.14139067729666
15.65;7;0;6.91676855886969;7.13176171990252
15.66;7;0;6.91689022620235;7.12100226074902
15.67;7;0;6.92892025418194;7.10874617578893
15.68;7;0;6.93179930494673;7.09965482704881
15.69;7;0;6.9244066025539;7.09327592939288
15.7;7;0;6.9291157890952;7.08463309405722
15.71;7;0;6.93222181527983;7.0772934204819
15.72;7;0;6.92702167278207;7.07225746197278
15.73;7;0;6.93516634075333;7.06461027906063
15.74;7;0;6.93629436817663;7.05936555733642
15.75;7;0;6.94421934767503;7.05291752862158
15.76;7;0;6.93067367785306;7.05172836291696
15.77;7;0;6.93772018987224;7.04577995337879
